UniqueID,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,noDescription,charCountDescription,upperCaseDescription,startprice_99end
10025,not biddable,149,used,Cellular,Sprint/T-Mobile,White,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10026,not biddable,238.8,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,0,no description,96,4,not a 99 ending
10027,not biddable,84.99,refurbished,Cellular,AT&T,Unknown,16/32/64 GB,iPad 1,1,no description,16,15,99 ending
10028,not biddable,249.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,0,no description,101,2,99 ending
10029,not biddable,309.99,new,No cellular,None,White,16/32/64 GB,iPad 4,0,no description,92,20,99 ending
10030,not biddable,319.95,refurbished,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,1,no description,71,6,not a 99 ending
10031,not biddable,185,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,96,2,not a 99 ending
10032,not biddable,90,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,no description,98,2,not a 99 ending
10033,not biddable,299.98,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,no description,100,6,not a 99 ending
10034,biddable,49,new,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10035,not biddable,444.99,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10036,not biddable,480,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,no description,77,1,not a 99 ending
10037,not biddable,225,new,Cellular,AT&T,Unknown,16/32/64 GB,iPad 3,1,no description,20,1,not a 99 ending
10038,not biddable,79,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10039,not biddable,189.85,refurbished,Cellular,Unknown,White,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10040,not biddable,159.99,used,No cellular,None,Black,16/32/64 GB,iPad 3,0,no description,101,3,99 ending
10041,not biddable,199.99,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10042,not biddable,115,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,no description,14,1,not a 99 ending
10043,not biddable,289.95,new,Cellular,Unknown,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10044,not biddable,499.95,new,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,no description,81,7,not a 99 ending
10045,not biddable,199.99,refurbished,Cellular,Verizon,Black,16/32/64 GB,iPad 2,1,no description,98,3,99 ending
10046,not biddable,550,new,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10047,not biddable,209.99,used,No cellular,None,White,16/32/64 GB,iPad 3,0,no description,100,2,99 ending
10048,not biddable,185,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,96,2,not a 99 ending
10049,biddable,100,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 4,1,no description,11,0,not a 99 ending
10050,biddable,279.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10051,not biddable,614.99,new,No cellular,None,Unknown,128 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10052,not biddable,259,new,Cellular,AT&T,Unknown,16/32/64 GB,iPad 3,0,no description,81,2,not a 99 ending
10053,not biddable,240,refurbished,No cellular,None,White,16/32/64 GB,iPad 4,0,contains description,0,0,not a 99 ending
10054,not biddable,69.99,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,99 ending
10055,not biddable,398.99,used,No cellular,None,Unknown,128 GB,iPad Air 1/2,0,no description,8,2,99 ending
10056,biddable,175,used,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10057,not biddable,84.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10058,not biddable,269.99,new,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,99 ending
10059,not biddable,295,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 4,0,no description,31,1,not a 99 ending
10060,not biddable,210,used,Cellular,Sprint/T-Mobile,White,16/32/64 GB,iPad mini,0,no description,70,3,not a 99 ending
10061,biddable,160,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10062,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,100,2,99 ending
10063,not biddable,304.89,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 4,0,no description,96,15,not a 99 ending
10064,biddable,0.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 2,1,no description,100,2,99 ending
10065,not biddable,195,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10066,not biddable,319,new,Unknown,Unknown,Gold,Unknown,Unknown,0,contains description,0,0,not a 99 ending
10067,not biddable,389.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10068,not biddable,79.99,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,no description,93,4,99 ending
10069,not biddable,254.99,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 4,0,contains description,0,0,99 ending
10070,biddable,115,used,Cellular,AT&T,Black,16/32/64 GB,iPad 3,1,no description,101,2,not a 99 ending
10071,not biddable,159.95,used,Cellular,Unknown,Black,16/32/64 GB,iPad 2,0,no description,98,3,not a 99 ending
10072,not biddable,279.99,used,Unknown,Unknown,Unknown,Unknown,iPad Air 1/2,0,no description,86,3,99 ending
10073,biddable,99.99,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10074,biddable,75,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10075,biddable,135,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10076,not biddable,130,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,no description,93,6,not a 99 ending
10077,not biddable,119.95,used,No cellular,None,Black,16/32/64 GB,iPad 2,0,no description,98,3,not a 99 ending
10078,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10079,not biddable,269.94,new,No cellular,None,Black,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10080,not biddable,380,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10081,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10082,not biddable,169.95,new,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10083,not biddable,319.85,refurbished,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10084,not biddable,329.99,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10085,not biddable,249.95,new,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10086,not biddable,130,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,no description,93,6,not a 99 ending
10087,not biddable,550,new,No cellular,None,Gold,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10088,not biddable,169.98,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 2,0,no description,100,6,not a 99 ending
10089,not biddable,149.99,refurbished,No cellular,None,Black,16/32/64 GB,iPad 2,1,no description,54,3,99 ending
10090,biddable,305,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10091,biddable,0.01,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10092,biddable,450,new,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10093,not biddable,194.29,refurbished,No cellular,None,White,16/32/64 GB,iPad mini,0,no description,96,15,not a 99 ending
10094,not biddable,193.15,used,Unknown,Unknown,Unknown,Unknown,Unknown,0,contains description,0,0,not a 99 ending
10095,biddable,62,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10096,not biddable,489.99,new,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,no description,86,5,99 ending
10097,biddable,99,used,No cellular,None,White,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10098,biddable,45,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,25,1,not a 99 ending
10099,not biddable,134.95,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,no description,32,5,not a 99 ending
10100,not biddable,199.99,used,No cellular,None,Black,16/32/64 GB,iPad 3,0,contains description,0,0,99 ending
10101,not biddable,264.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,1,no description,99,4,99 ending
10102,not biddable,349,refurbished,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10103,biddable,160,used,No cellular,None,Black,16/32/64 GB,iPad mini 2,0,no description,37,1,not a 99 ending
10104,not biddable,295,used,Cellular,Unknown,White,16/32/64 GB,iPad 4,0,no description,95,4,not a 99 ending
10105,not biddable,199,refurbished,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10106,not biddable,279.95,new,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10107,not biddable,149.95,new,Cellular,Unknown,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10108,biddable,290,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10109,not biddable,339.99,new,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10110,not biddable,99,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 1,0,no description,98,3,99 ending
10111,not biddable,320,used,Cellular,Unknown,White,16/32/64 GB,iPad 4,0,no description,98,2,not a 99 ending
10112,biddable,255,refurbished,Cellular,Unknown,Black,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10113,biddable,114.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,no description,98,6,99 ending
10114,biddable,250,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,no description,100,11,not a 99 ending
10115,not biddable,250,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,0,no description,21,1,not a 99 ending
10116,not biddable,549.99,used,Cellular,Verizon,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10117,not biddable,215,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10118,biddable,325,used,No cellular,None,Space Gray,128 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10119,biddable,199.99,new,Cellular,Sprint/T-Mobile,White,16/32/64 GB,iPad Air 1/2,1,no description,43,1,99 ending
10120,biddable,250,used,Cellular,Unknown,White,16/32/64 GB,iPad mini3,0,contains description,0,0,not a 99 ending
10121,not biddable,249.99,refurbished,Cellular,Verizon,Black,16/32/64 GB,iPad 4,0,no description,98,4,99 ending
10122,not biddable,299.99,new,Cellular,Unknown,White,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10123,biddable,159.99,new,No cellular,None,White,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10124,biddable,9.99,used,No cellular,None,White,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10125,biddable,125,used,No cellular,None,Black,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10126,not biddable,344,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,0,no description,31,1,not a 99 ending
10127,biddable,100,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10128,not biddable,250,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,0,no description,21,1,not a 99 ending
10129,not biddable,175,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,no description,14,0,not a 99 ending
10130,biddable,100,new,Unknown,Unknown,Unknown,Unknown,Unknown,1,no description,33,4,not a 99 ending
10131,not biddable,150,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10132,not biddable,119.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 2,0,no description,97,3,99 ending
10133,not biddable,225,used,Cellular,Verizon,Black,16/32/64 GB,iPad 3,0,contains description,0,0,not a 99 ending
10134,biddable,49.49,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10135,biddable,225,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 4,0,contains description,0,0,not a 99 ending
10136,not biddable,389.99,new,No cellular,None,Unknown,128 GB,iPad Air 1/2,0,no description,96,20,99 ending
10137,biddable,255,used,No cellular,None,Black,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10138,biddable,25,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 1,1,no description,105,4,not a 99 ending
10139,not biddable,274.99,refurbished,Cellular,AT&T,Space Gray,16/32/64 GB,iPad Air 1/2,0,no description,102,12,99 ending
10140,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10141,biddable,185,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,61,3,not a 99 ending
10142,biddable,250,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10143,biddable,99,used,Cellular,Sprint/T-Mobile,Space Gray,16/32/64 GB,iPad mini 2,1,contains description,0,0,99 ending
10144,not biddable,215,used,Cellular,AT&T,White,16/32/64 GB,iPad 3,0,no description,93,4,not a 99 ending
10145,biddable,58,used,Unknown,Unknown,Black,Unknown,Unknown,1,contains description,0,0,not a 99 ending
10146,not biddable,187.5,used,No cellular,None,Black,16/32/64 GB,iPad 3,0,no description,101,4,not a 99 ending
10147,not biddable,189.99,used,No cellular,None,White,16/32/64 GB,iPad 3,1,no description,44,2,99 ending
10148,not biddable,229,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,0,contains description,0,0,not a 99 ending
10149,not biddable,159.93,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 2,0,no description,97,2,not a 99 ending
10150,biddable,89.95,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10151,biddable,60,refurbished,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,99,6,not a 99 ending
10152,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,95,7,99 ending
10153,not biddable,639.99,refurbished,Cellular,Unknown,Unknown,128 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10154,biddable,40,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,no description,75,0,not a 99 ending
10155,not biddable,284.99,used,Unknown,Unknown,White,16/32/64 GB,iPad mini3,0,no description,40,1,99 ending
10156,biddable,29.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,contains description,0,0,99 ending
10157,biddable,49.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,contains description,0,0,99 ending
10158,not biddable,139.98,used,No cellular,None,Black,16/32/64 GB,iPad 2,0,no description,97,4,not a 99 ending
10159,not biddable,199,used,Unknown,Unknown,Unknown,Unknown,iPad mini,1,contains description,0,0,99 ending
10160,not biddable,294.99,refurbished,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,no description,95,5,99 ending
10161,not biddable,499,new,Cellular,Sprint/T-Mobile,White,128 GB,iPad mini 2,1,contains description,0,0,99 ending
10162,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10163,not biddable,299.99,used,Cellular,AT&T,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10164,not biddable,270,used,Cellular,Unknown,White,16/32/64 GB,iPad 4,0,no description,95,4,not a 99 ending
10165,biddable,80,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,no description,33,1,not a 99 ending
10166,biddable,0.01,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10167,not biddable,399.99,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,no description,40,30,99 ending
10168,not biddable,279.95,new,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10169,biddable,50,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10170,not biddable,329,new,No cellular,None,Black,16/32/64 GB,iPad mini 2,0,contains description,0,0,not a 99 ending
10171,not biddable,187.5,used,No cellular,None,Black,16/32/64 GB,iPad 3,0,no description,100,4,not a 99 ending
10172,not biddable,269,used,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,0,contains description,0,0,not a 99 ending
10173,biddable,50,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10174,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad mini,1,no description,55,1,99 ending
10175,biddable,65,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10176,biddable,89.99,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10177,biddable,149,new,No cellular,None,White,16/32/64 GB,iPad mini3,1,contains description,0,0,not a 99 ending
10178,not biddable,184.95,used,Cellular,Verizon,Black,16/32/64 GB,iPad 3,1,no description,99,12,not a 99 ending
10179,biddable,99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,no description,19,3,99 ending
10180,biddable,225,used,Cellular,Verizon,White,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10181,biddable,200,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10182,biddable,100,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10183,not biddable,319,new,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,1,no description,78,1,not a 99 ending
10184,not biddable,15,used,No cellular,None,Black,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10185,biddable,99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10186,biddable,99.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10187,biddable,174.95,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10188,not biddable,299,used,Cellular,Unknown,White,16/32/64 GB,iPad 4,0,no description,93,4,99 ending
10189,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,54,0,99 ending
10190,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10191,not biddable,215,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10192,biddable,62,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10193,biddable,250,refurbished,Cellular,Unknown,Black,16/32/64 GB,iPad 3,0,contains description,0,0,not a 99 ending
10194,biddable,100,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 3,1,no description,99,0,not a 99 ending
10195,biddable,200,used,Cellular,Unknown,Unknown,16/32/64 GB,iPad 3,0,contains description,0,0,not a 99 ending
10196,biddable,99.99,used,No cellular,None,White,16/32/64 GB,iPad mini,1,no description,58,2,99 ending
10197,not biddable,404.99,new,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,0,no description,13,0,99 ending
10198,biddable,0.99,used,Cellular,Unknown,Unknown,16/32/64 GB,iPad Air 1/2,1,no description,87,8,99 ending
10199,biddable,50,used,No cellular,None,Black,16/32/64 GB,Unknown,0,no description,54,2,not a 99 ending
10200,not biddable,89.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10201,biddable,49.99,used,Unknown,Unknown,Black,Unknown,Unknown,1,no description,46,2,99 ending
10202,biddable,100,used,Cellular,Verizon,Black,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10203,biddable,79.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,1,no description,98,3,99 ending
10204,not biddable,309.99,used,Unknown,Unknown,Unknown,Unknown,iPad 4,0,no description,93,4,99 ending
10205,not biddable,415,used,Cellular,Unknown,Unknown,16/32/64 GB,iPad Air 1/2,1,no description,80,5,not a 99 ending
10206,not biddable,200,used,Cellular,AT&T,White,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10207,not biddable,269,used,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,0,contains description,0,0,not a 99 ending
10208,biddable,184.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,1,no description,50,2,99 ending
10209,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10210,biddable,165,used,No cellular,None,White,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10211,biddable,25,refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,1,contains description,0,0,not a 99 ending
10212,not biddable,299,used,Cellular,Unknown,White,16/32/64 GB,iPad 4,0,no description,93,4,99 ending
10213,biddable,99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10214,biddable,99,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10215,not biddable,374.95,used,No cellular,None,White,128 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10216,not biddable,189,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,no description,101,3,not a 99 ending
10217,not biddable,75,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10218,not biddable,175,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10219,not biddable,480,refurbished,No cellular,None,Gold,16/32/64 GB,iPad Air 1/2,0,no description,100,2,not a 99 ending
10220,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,25,0,99 ending
10221,not biddable,465.99,refurbished,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,0,no description,89,6,99 ending
10222,not biddable,399.99,used,No cellular,None,Unknown,128 GB,iPad 4,0,no description,31,1,99 ending
10223,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,25,0,99 ending
10224,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10225,biddable,70,used,No cellular,None,Black,16/32/64 GB,Unknown,1,no description,20,1,not a 99 ending
10226,biddable,1,used,Cellular,Verizon,Black,16/32/64 GB,iPad 1,1,no description,98,4,not a 99 ending
10227,biddable,299.99,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini3,1,no description,42,2,99 ending
10228,biddable,150,used,Cellular,AT&T,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10229,not biddable,187.99,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,0,contains description,0,0,99 ending
10230,biddable,42,used,No cellular,None,White,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10231,biddable,399.99,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,no description,98,8,99 ending
10232,not biddable,425,new,Cellular,Unknown,Unknown,16/32/64 GB,iPad mini3,0,contains description,0,0,not a 99 ending
10233,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10234,not biddable,339,used,No cellular,None,White,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10235,not biddable,164.99,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 2,0,no description,31,1,99 ending
10236,not biddable,319.95,used,Cellular,AT&T,White,16/32/64 GB,iPad Air 1/2,0,no description,73,3,not a 99 ending
10237,biddable,99,refurbished,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10238,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10239,not biddable,398.99,used,No cellular,None,Unknown,128 GB,iPad Air 1/2,0,no description,8,2,99 ending
10240,biddable,55,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10241,biddable,99.99,refurbished,Cellular,Verizon,Unknown,16/32/64 GB,iPad 3,0,no description,18,0,99 ending
10242,biddable,175,used,Cellular,Verizon,White,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10243,biddable,140,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
