"","carat","cut","color","clarity","depth","table","price","x","y","z","price_hilo"
"14177",1.52,"Ideal","I","SI2",62.5,58,7990,7.29,7.33,4.57,1
"17219",0.91,"Very Good","F","SI1",62.7,56,3963,6.11,6.17,3.85,1
"22812",0.3,"Very Good","D","SI1",63.1,56,662,4.28,4.24,2.69,0
"27560",0.59,"Very Good","F","VVS2",63.5,59,2302,5.28,5.3,3.36,0
"26535",0.32,"Very Good","G","VVS2",62.6,54,672,4.37,4.39,2.74,0
"14820",0.35,"Ideal","G","VS1",62.1,56,706,4.52,4.56,2.82,0
"23746",0.3,"Ideal","H","VVS1",62.2,56,665,4.28,4.3,2.67,0
"12896",1.04,"Ideal","H","VVS2",62.2,55,6619,6.48,6.52,4.04,1
"28700",2.04,"Premium","G","SI2",61.3,60,12794,8.18,8.13,5,1
"15992",1.01,"Very Good","F","IF",59.6,62,9965,6.47,6.56,3.88,1
"35332",0.4,"Ideal","E","VS2",61.6,57,1092,4.73,4.75,2.92,0
"9302",0.3,"Ideal","I","VVS1",61.1,57,552,4.32,4.36,2.65,0
"12122",0.73,"Ideal","E","VS2",61.7,57,3470,5.75,5.78,3.55,0
"27376",0.39,"Premium","G","SI1",61.7,57,854,4.77,4.7,2.92,0
"24145",0.9,"Good","E","SI1",62.2,65,3274,6.13,6.08,3.8,0
"20928",0.3,"Ideal","F","IF",61.1,57,1013,4.39,4.35,2.67,0
"19141",0.35,"Premium","E","VS2",60.7,60,767,4.55,4.58,2.77,0
"12929",0.27,"Ideal","G","VS2",61.6,54,490,4.17,4.2,2.58,0
"21436",0.32,"Very Good","E","SI1",59.9,57,584,4.47,4.49,2.68,0
"2055",0.76,"Premium","E","SI2",62.4,58,2451,5.83,5.86,3.65,0
"32605",1.41,"Good","E","VVS2",59.9,61,14853,7.21,7.37,4.37,1
"16240",0.38,"Ideal","D","VS1",61.8,54,983,4.67,4.71,2.9,0
"27456",1.01,"Premium","G","VS2",62.6,56,5713,6.41,6.34,3.99,1
"3983",0.31,"Ideal","D","VVS2",61,55,1074,4.38,4.41,2.68,0
"26011",0.6,"Fair","E","SI2",66.5,56,1033,5.31,5.21,3.5,0
"26657",0.36,"Ideal","D","VS1",61.7,55,1094,4.58,4.62,2.84,0
"30991",1.59,"Ideal","H","SI1",61.4,55,10284,7.56,7.51,4.63,1
"32973",0.32,"Ideal","E","SI2",62,55,576,4.41,4.36,2.72,0
"23740",0.55,"Very Good","F","VS2",61.8,57,1676,5.23,5.28,3.25,0
"34889",0.73,"Ideal","H","SI1",62.8,57,2330,5.77,5.72,3.61,0
"29178",0.34,"Very Good","F","VS1",61.1,60,795,4.46,4.51,2.74,0
"4131",0.34,"Very Good","I","VS2",62.1,57,477,4.44,4.48,2.77,0
"19345",1.05,"Ideal","H","SI1",60.8,56,5704,6.62,6.58,4.01,1
"38168",0.67,"Ideal","G","VVS1",62.4,55,2577,5.6,5.62,3.5,0
"945",2.08,"Premium","H","VS2",62,58,17258,8.19,8.1,5.05,1
"31127",0.57,"Ideal","D","SI1",61.4,55,1810,5.35,5.34,3.28,0
"31084",1,"Good","G","VS2",56.7,62,4838,6.64,6.59,3.75,1
"18829",0.37,"Ideal","E","SI1",61.4,56,777,4.65,4.6,2.84,0
"38719",0.3,"Premium","H","VS1",62.1,59,491,4.25,4.28,2.65,0
"17567",1.5,"Premium","D","SI1",62.4,58,12179,7.31,7.27,4.55,1
"24351",1,"Good","E","SI2",63.7,61,3819,6.27,6.32,4.01,0
"19831",0.53,"Good","E","SI1",56.7,59,1246,5.39,5.37,3.05,0
"3385",0.55,"Very Good","E","VS2",61.7,59,1629,5.2,5.27,3.23,0
"27305",1.03,"Ideal","D","SI2",61.8,54,5013,6.46,6.52,4.01,1
"37045",0.7,"Premium","E","SI1",61,58,2777,5.78,5.72,3.51,0
"8602",0.53,"Premium","H","IF",62.5,59,1957,5.15,5.18,3.23,0
"38830",1,"Premium","D","VS1",62.7,54,7812,6.38,6.35,3.99,1
"34819",0.35,"Ideal","F","VS1",62.4,55,853,4.52,4.49,2.81,0
"8173",0.83,"Very Good","H","VS2",59.4,59,3276,6.08,6.11,3.62,0
"38013",1.05,"Ideal","G","VS1",62.2,53,7270,6.51,6.55,4.06,1
"6086",1.08,"Ideal","H","VVS2",62.4,55,6856,6.53,6.57,4.09,1
"11795",0.87,"Ideal","G","VS2",61.4,55,4553,6.15,6.17,3.78,1
"28435",1.76,"Very Good","J","SI2",60.9,60,9053,7.79,7.83,4.76,1
"19931",1.07,"Premium","E","VS1",62,60,7909,6.58,6.49,4.05,1
"36958",0.7,"Premium","D","SI2",60.4,60,2596,5.79,5.74,3.48,0
"10519",0.9,"Ideal","G","VS1",62.5,57,5080,6.18,6.13,3.84,1
"3116",1.16,"Ideal","J","IF",60.6,56,5519,6.79,6.86,4.14,1
"4445",0.74,"Ideal","F","VS1",61.9,54,3590,5.78,5.82,3.59,0
"16915",0.33,"Premium","H","VS1",59.2,58,579,4.5,4.55,2.68,0
"27420",1.02,"Ideal","I","SI1",62.9,57,3656,6.41,6.37,4.02,0
"25018",0.94,"Fair","F","SI1",56.8,67,4053,6.56,6.44,3.69,1
"6963",0.92,"Premium","E","SI1",62.2,58,4562,6.18,6.23,3.86,1
"27064",2,"Fair","J","SI1",66.4,55,11189,7.82,7.67,5.15,1
"15764",2.02,"Very Good","H","VS2",61.5,59,17887,8.08,8.21,5.01,1
"22941",1.01,"Good","F","VS2",64.1,59,6037,6.16,6.23,3.97,1
"16065",0.5,"Fair","F","VS1",65,55,1577,5.01,4.96,3.24,0
"18173",1.24,"Premium","D","SI2",59.9,59,5382,7.01,6.95,4.18,1
"6647",0.73,"Very Good","E","VVS2",60.2,60,3565,5.81,5.85,3.51,0
"3987",1.1,"Premium","G","VS1",62.2,59,5958,6.61,6.57,4.1,1
"26752",1.08,"Good","J","VS2",64.3,58,3980,6.46,6.44,4.15,1
"18376",0.37,"Ideal","E","VS2",61.5,56,1041,4.62,4.59,2.83,0
"7934",0.31,"Premium","E","VS2",61.6,59,872,4.35,4.32,2.67,0
"6928",0.7,"Ideal","F","VS1",61.2,54,2940,5.92,5.64,3.54,0
"14329",0.32,"Ideal","E","VS2",62.1,56,900,4.41,4.38,2.73,0
"37415",1.11,"Premium","G","VS2",59,59,6713,6.79,6.76,4,1
"16335",0.96,"Fair","H","I1",60.1,62,1808,6.21,6,3.68,0
"28175",0.7,"Very Good","E","SI1",63.9,57,3173,5.55,5.66,3.58,0
"34761",0.58,"Ideal","F","VS1",60.3,57,2227,5.47,5.44,3.29,0
"14171",0.71,"Premium","D","SI1",62.7,60,2797,5.67,5.71,3.57,0
"21055",0.4,"Ideal","E","VVS2",61.5,55,988,4.77,4.79,2.94,0
"25283",0.53,"Very Good","G","SI2",60,56,1079,5.28,5.32,3.18,0
"1099",1.05,"Fair","I","VS1",58.9,66,4281,6.71,6.6,3.92,1
"9686",1.5,"Very Good","J","VVS2",62.9,58,8622,7.25,7.31,4.58,1
"1084",0.31,"Very Good","H","VVS2",61.2,55,578,4.41,4.44,2.7,0
"32018",0.4,"Premium","D","VS2",61.7,59,1050,4.75,4.72,2.92,0
"32960",1.75,"Ideal","J","VS2",62.1,56,9890,7.74,7.69,4.79,1
"4587",0.28,"Very Good","F","VS2",61.7,58,487,4.17,4.19,2.58,0
"5087",0.55,"Premium","F","SI1",60.7,57,1415,5.3,5.27,3.21,0
"14807",0.97,"Premium","E","SI1",61,61,4915,6.32,6.28,3.84,1
"16528",0.71,"Very Good","G","VVS2",60.8,58,2977,5.75,5.77,3.5,0
"2928",1.31,"Ideal","G","VS2",61.9,56,8922,7.05,7.08,4.37,1
"32292",1.11,"Ideal","I","SI1",62.2,56,4890,6.62,6.65,4.13,1
"20344",0.71,"Good","I","VVS1",63.8,56,2549,5.65,5.7,3.62,0
"6568",0.74,"Fair","H","VS2",66.1,61,2553,5.6,5.57,3.69,0
"26456",0.5,"Good","F","VS2",63.3,57,1436,5.01,5.07,3.19,0
"26753",0.34,"Ideal","G","VVS1",61.8,56,913,4.48,4.51,2.78,0
"18724",0.54,"Very Good","F","VS2",60.9,55,1639,5.25,5.31,3.21,0
"30426",1.1,"Very Good","J","SI2",61.8,58,4283,6.6,6.63,4.09,1
"31875",0.41,"Very Good","F","VS1",62.1,60,889,4.72,4.75,2.94,0
"17937",1.22,"Ideal","H","SI2",61.1,57,5703,6.9,5.92,4.22,1
"10791",0.7,"Premium","F","SI2",61.2,59,1792,5.75,5.72,3.51,0
"8488",1.09,"Premium","H","SI1",62.4,59,5219,6.53,6.48,4.06,1
"17799",0.71,"Ideal","D","VS2",60.1,56,4029,5.77,5.83,3.48,1
"34130",1.36,"Good","F","SI1",57.5,60,7197,7.36,7.31,4.22,1
"30934",2.18,"Premium","H","SI2",59.1,60,17473,8.49,8.45,5.01,1
"39937",0.82,"Fair","F","SI1",64.9,58,2838,5.83,5.79,3.77,0
"23652",0.4,"Premium","D","SI1",61.1,58,990,4.75,4.74,2.9,0
"20058",0.58,"Very Good","G","SI1",63.5,56,1393,5.34,5.28,3.37,0
"30458",2.11,"Very Good","I","SI1",62.4,53,14740,8.17,8.27,5.13,1
"23503",0.41,"Ideal","F","VVS1",60.9,56,1356,4.83,4.79,2.93,0
"12506",2.02,"Ideal","J","VS1",61.9,58,15231,8.06,8.1,5,1
"18443",0.9,"Very Good","G","SI1",63.3,56,3752,6.08,6.11,3.86,0
"32252",0.51,"Ideal","E","VVS1",61.3,56,3226,5.21,5.13,3.17,0
"18131",0.9,"Premium","I","VS2",62.8,61,3246,6.12,6.02,3.81,0
"28875",1.21,"Ideal","I","VS1",61.7,53,7111,6.89,6.92,4.26,1
"10210",1.01,"Ideal","H","SI2",61.1,56,4693,6.44,6.48,3.95,1
"17202",0.76,"Premium","D","SI1",61.1,59,2847,5.93,5.88,3.61,0
"18359",1.06,"Premium","H","VS1",62.1,60,5247,6.52,6.5,4.04,1
"13086",0.36,"Premium","F","SI1",61.1,59,600,4.55,4.59,2.79,0
"27354",0.52,"Very Good","D","SI1",60.5,61,1408,5.19,5.23,3.15,0
"18416",0.33,"Ideal","F","VVS1",62.1,56,1062,4.46,4.43,2.76,0
"20814",0.73,"Ideal","G","VVS2",61,56,3783,5.82,5.86,3.56,0
"14729",0.3,"Premium","E","VS2",62,60,658,4.23,4.26,2.63,0
"5872",1.2,"Premium","H","SI2",60.8,59,4301,6.8,6.75,4.12,1
"10975",0.34,"Ideal","E","VS1",61.8,56,1033,4.51,4.47,2.78,0
"32727",1.73,"Very Good","G","VS2",62.9,58,16807,7.58,7.65,4.79,1
"34301",1.51,"Premium","H","VS2",63,58,10548,7.34,7.27,4.6,1
"12417",1.19,"Premium","I","SI2",59.5,59,4498,6.95,6.89,4.12,1
"9764",2.02,"Very Good","H","SI2",63.1,54,13655,8.09,7.99,5.07,1
"16164",1,"Good","I","SI1",57.6,61,3640,6.56,6.52,3.77,0
"28206",0.71,"Ideal","I","VS2",63.1,57,2265,5.66,5.71,3.59,0
"32597",0.81,"Premium","G","VS1",62.3,56,3266,5.95,5.89,3.69,0
"3025",0.87,"Very Good","H","SI2",61,56,2993,6.15,6.19,3.77,0
"3338",0.45,"Premium","E","SI1",62.8,58,1091,4.88,4.84,3.05,0
"36986",0.35,"Ideal","G","VS1",61.9,55,706,4.52,4.53,2.8,0
"31445",0.72,"Good","I","VS2",63.3,59,2068,5.62,5.66,3.57,0
"17211",0.44,"Ideal","I","VVS2",60.8,56,912,4.9,4.93,2.99,0
"16172",0.5,"Ideal","G","VVS2",62.3,56,1935,5.09,5.05,3.16,0
"19129",0.71,"Very Good","G","VS1",62,53,3425,5.72,5.76,3.56,0
"21419",1.24,"Premium","D","SI2",61.4,59,6965,6.91,6.87,4.23,1
"1459",0.33,"Ideal","F","IF",61.2,56,957,4.48,4.5,2.75,0
"36589",0.31,"Very Good","I","SI2",60.6,61,383,4.4,4.45,2.68,0
"33438",1.34,"Very Good","G","VS2",60.7,59,9127,7.04,7.07,4.28,1
"31802",1.11,"Ideal","G","SI1",62.6,57,5061,6.64,6.59,4.14,1
"1265",0.34,"Ideal","E","IF",61.7,56,1163,4.46,4.48,2.76,0
"8548",0.41,"Very Good","D","VS2",61.7,54,939,4.77,4.82,2.96,0
"28933",0.7,"Good","G","SI1",63.7,60,2150,5.57,5.51,3.53,0
"20226",1.03,"Very Good","G","SI1",62.6,56,5024,6.41,6.44,4.02,1
"28109",1.07,"Very Good","H","VS2",61.3,58,5820,6.59,6.62,4.05,1
"82",0.3,"Ideal","I","SI2",62,55,360,4.32,4.33,2.68,0
"35713",0.41,"Ideal","F","VS2",60.9,57,1107,4.78,4.74,2.9,0
"24666",0.51,"Good","E","SI1",63.2,61,1343,5.05,5.08,3.2,0
"19632",0.32,"Ideal","E","VS2",61.4,57,780,4.46,4.4,2.72,0
"39225",1.1,"Ideal","G","SI2",62.6,56,5535,6.64,6.58,4.14,1
"32473",1.03,"Very Good","E","SI2",60.7,63,4326,6.48,6.44,3.92,1
"31025",0.37,"Very Good","D","VVS1",62.3,54,1108,4.57,4.65,2.87,0
"21392",1.65,"Very Good","F","VS1",62.8,56,17425,7.52,7.57,4.74,1
"6541",0.6,"Fair","G","VVS2",57.9,67,2167,5.66,5.47,3.23,0
"39390",0.42,"Ideal","F","VS1",60.9,57,1031,4.84,4.88,2.96,0
"16738",1.03,"Premium","H","SI1",62.2,60,4843,6.4,6.43,3.99,1
"20723",1.23,"Premium","G","SI2",58.9,62,4408,7.03,6.97,4.12,1
"30603",0.36,"Very Good","E","VS1",60.6,58,894,4.61,4.63,2.8,0
"38118",0.9,"Very Good","E","VS2",61.1,63,4134,6.17,6.2,3.78,1
"33622",0.3,"Ideal","F","IF",60.9,57,873,4.35,4.38,2.66,0
"917",0.7,"Premium","D","SI1",62.1,62,2339,5.63,5.58,3.48,0
"17116",1.5,"Premium","G","VS1",61.2,59,14234,7.36,7.32,4.49,1
"19776",1.25,"Premium","F","I1",58,59,3724,7.12,7.05,4.11,0
"6360",1.71,"Good","F","SI2",63.7,54,6971,7.6,7.49,4.81,1
"7946",0.53,"Ideal","D","VS2",61.4,56,1857,5.2,5.23,3.2,0
"21939",1.01,"Ideal","D","SI2",62.6,56,4785,6.34,6.4,3.99,1
"22738",0.29,"Very Good","G","VVS1",61.4,56,607,4.25,4.28,2.62,0
"30537",0.35,"Ideal","G","SI1",61.3,56,669,4.56,4.54,2.79,0
"20588",1.01,"Premium","J","VS2",62.4,60,3190,6.45,6.35,3.99,0
"25353",2,"Very Good","J","VS1",61,51.6,13203,8.14,8.18,4.97,1
"27625",1.02,"Very Good","E","SI1",63.5,55,5245,6.3,6.37,4.02,1
"30966",1.57,"Premium","G","SI1",59.2,59,10914,7.6,7.68,4.52,1
"27370",2.08,"Ideal","I","SI2",62.3,56,15132,8.16,8.22,5.1,1
"9685",0.54,"Ideal","H","VS1",61.5,56,1637,5.24,5.23,3.22,0
"25443",0.72,"Ideal","H","VS1",61.6,56,3274,5.76,5.79,3.55,0
"22000",2.01,"Good","F","SI2",58.1,64,16231,8.23,8.19,4.77,1
"17441",0.5,"Premium","D","SI1",61.4,59,1363,5.12,5.08,3.13,0
"11423",1.07,"Premium","F","VS2",61.6,60,5974,6.56,6.53,4.03,1
"2839",0.42,"Ideal","G","SI1",62.2,53,777,4.85,4.86,3.02,0
"38746",0.52,"Ideal","E","VS2",61.1,57,1815,5.2,5.18,3.17,0
"36656",0.51,"Premium","I","SI1",62.7,59,1080,5.09,5.06,3.18,0
"26956",0.32,"Ideal","J","VS2",61.5,53,409,4.44,4.47,2.74,0
"33635",0.9,"Good","E","SI1",60.8,65,3625,6.31,6.18,3.8,0
"29188",1.16,"Premium","I","SI1",62.7,57,4872,6.76,6.67,4.21,1
"5522",1.01,"Premium","E","SI1",62.4,58,4480,6.42,6.37,3.99,1
"21000",0.29,"Very Good","E","VVS2",60.9,57,674,4.29,4.32,2.62,0
"21791",1.33,"Premium","H","VS2",59.9,60,6614,7.13,7.09,4.26,1
"7774",1.01,"Very Good","H","VS2",61.2,57,5861,6.49,6.41,3.95,1
"39039",0.31,"Ideal","G","IF",62,54,801,4.35,4.39,2.71,0
"20735",1.01,"Good","E","SI1",63.1,60,4912,6.34,6.37,4.01,1
"9087",0.71,"Premium","F","SI1",60.7,54,2809,5.84,5.8,3.53,0
"1235",1,"Good","D","SI2",63.5,59,4218,6.32,6.35,4.02,1
"35813",0.31,"Good","I","VVS1",63.1,59,571,4.25,4.31,2.7,0
"25936",0.7,"Ideal","I","VVS1",62.3,55,2513,5.64,5.7,3.53,0
"1162",1.23,"Very Good","F","VVS2",62.4,58,10835,6.74,6.89,4.26,1
"19971",0.54,"Ideal","E","VS2",61.8,55,1847,5.26,5.24,3.24,0
"21370",1.55,"Ideal","G","VS2",61.6,56,14106,7.44,7.49,4.6,1
"8980",0.35,"Ideal","E","VS2",61.6,55,984,4.54,4.49,2.78,0
"23734",1.73,"Ideal","J","SI1",62.6,57,6927,7.69,7.65,4.8,1
"13635",0.32,"Premium","G","SI1",62.6,58,612,4.37,4.35,2.73,0
"3145",0.34,"Premium","D","VS2",62.1,58,1033,4.5,4.45,2.78,0
"24501",1.54,"Good","I","VS1",63.6,60,10349,7.33,7.3,4.65,1
"1392",1.03,"Ideal","H","VVS2",62.2,55,6638,6.43,6.49,4.03,1
"9887",0.42,"Very Good","H","SI1",63.1,57,898,4.78,4.76,3.01,0
"31764",0.42,"Premium","H","SI1",60.9,58,898,4.85,4.84,2.95,0
"10931",0.7,"Ideal","H","VS1",61.9,56,2710,5.7,5.73,3.54,0
"33463",0.7,"Premium","I","I1",62.3,58,1107,5.69,5.55,3.51,0
"32367",0.33,"Very Good","F","SI2",63,58,434,4.4,4.42,2.78,0
"23502",0.79,"Ideal","D","SI1",61.2,56,3185,6.02,5.95,3.66,0
"16122",2.03,"Ideal","H","SI2",61.8,56,15143,8.1,8.15,5.02,1
"34025",1.14,"Premium","F","SI1",60.4,58,6320,6.82,6.79,4.11,1
"5159",1.71,"Ideal","J","VS1",62.1,55,11711,7.73,7.65,4.78,1
"24866",0.34,"Good","H","SI1",63.7,57,628,4.45,4.44,2.83,0
"525",0.3,"Ideal","D","VS2",61.4,54,710,4.33,4.34,2.66,0
"20073",1.02,"Very Good","F","SI2",60,57,4373,6.53,6.57,3.93,1
"974",0.51,"Premium","E","VS1",61.9,58,1928,5.15,5.1,3.17,0
"565",0.54,"Very Good","G","VS1",61.6,54,1665,5.26,5.3,3.25,0
"24194",2.29,"Premium","H","VS2",61.6,60,17539,8.45,8.43,5.2,1
"17370",1.52,"Premium","G","VS2",60.9,61,12738,7.41,7.38,4.5,1
"4288",0.5,"Good","F","VS2",62.8,61,1447,4.94,5,3.12,0
"27735",0.33,"Premium","I","IF",59,61,891,4.56,4.49,2.67,0
"20578",0.7,"Premium","D","SI2",63,56,2239,5.67,5.64,3.56,0
"29566",2.11,"Premium","J","SI2",61,58,12554,8.29,8.2,5.03,1
"34794",0.7,"Good","D","VS2",64.1,59,3087,5.49,5.56,3.54,0
"2923",1.06,"Premium","G","VVS2",59.6,58,8003,6.61,6.65,3.95,1
"32478",0.31,"Premium","F","VS2",61.8,59,802,4.33,4.31,2.67,0
"10658",0.3,"Very Good","E","VS1",61.4,59,653,4.32,4.28,2.64,0
"15021",1.72,"Premium","I","VVS2",62.7,58,12509,7.6,7.54,4.75,1
"16319",1.01,"Ideal","G","VS2",61.6,57,6159,6.41,6.44,3.96,1
"16124",0.36,"Ideal","F","VS1",60.8,56,803,4.61,4.64,2.81,0
"633",0.3,"Ideal","D","VS2",62.3,53.9,762,4.3,4.32,2.69,0
"12067",0.51,"Very Good","E","SI1",60.8,57,1438,5.19,5.24,3.17,0
"5723",0.56,"Premium","G","SI1",60.2,59,1441,5.36,5.34,3.22,0
"6517",0.56,"Ideal","D","VS1",61.7,56,2026,5.33,5.3,3.28,0
"24644",0.58,"Ideal","E","VS2",61.6,55,1884,5.33,5.38,3.3,0
"36099",0.7,"Good","D","SI1",61.6,62,2570,5.67,5.72,3.51,0
"18631",0.3,"Ideal","G","SI1",60.9,57,422,4.34,4.39,2.66,0
"29797",0.7,"Premium","H","SI2",61.3,61,1749,5.67,5.62,3.46,0
"29485",0.7,"Fair","F","VS1",64.5,57,2381,5.65,5.58,3.62,0
"22655",1.01,"Ideal","E","VVS1",62,57,10954,6.39,6.45,3.98,1
"17012",1.23,"Ideal","E","VVS2",61.7,57,12539,6.85,6.91,4.25,1
"36693",1.01,"Premium","E","SI1",61.6,59,4299,6.44,6.42,3.96,1
"9593",1.65,"Premium","F","SI2",60.5,61,9693,7.7,7.65,4.64,1
"6639",1.54,"Ideal","G","SI2",61.9,55,9193,7.47,7.39,4.6,1
"18932",0.32,"Ideal","I","VS2",62,57,449,4.36,4.41,2.72,0
"36964",0.61,"Ideal","I","VVS1",62.5,54,1713,5.43,5.49,3.41,0
"15160",1.01,"Premium","G","VS1",59.8,59,6529,6.55,6.5,3.9,1
"15262",1.15,"Premium","H","SI2",62.9,56,4959,6.7,6.59,4.18,1
"12252",0.43,"Fair","E","VS2",60.5,59,1107,4.92,4.9,2.97,0
"2832",0.6,"Very Good","F","VS2",60.8,56,2270,5.45,5.48,3.32,0
"16796",0.51,"Ideal","D","VS2",61.1,56,1986,5.16,5.2,3.17,0
"28902",1.02,"Very Good","F","VS1",61.3,58,7740,6.46,6.52,3.98,1
"8644",0.41,"Premium","E","VS1",62,60,1079,4.74,4.78,2.95,0
"20281",0.74,"Very Good","I","VS1",62.3,60,2491,5.78,5.8,3.61,0
"33300",1.4,"Ideal","G","VVS2",62,56,14231,7.18,7.13,4.44,1
"19790",0.4,"Very Good","H","VVS2",59.7,57,882,4.83,4.85,2.89,0
"31043",0.31,"Ideal","D","SI1",61.2,55,732,4.49,4.37,2.71,0
"1595",1.01,"Ideal","G","VS1",62.7,56,6951,6.4,6.35,4,1
"38506",0.9,"Ideal","F","I1",61.8,57,2634,6.2,6.13,3.81,0
"33851",0.31,"Premium","F","VS2",62.3,59,625,4.3,4.33,2.69,0
"36970",0.38,"Ideal","J","VS2",62.3,55,572,4.63,4.65,2.89,0
"26754",1.28,"Premium","H","SI1",62.3,58,6946,7,6.94,4.34,1
"21257",1.13,"Premium","F","IF",59.8,60,12722,6.82,6.76,4.06,1
"28613",0.91,"Good","F","SI1",64,57,3423,6.08,6.17,3.92,0
"19898",0.38,"Ideal","I","VVS2",63.4,53,809,4.61,4.63,2.93,0
"661",0.35,"Very Good","G","SI1",63.4,56,669,4.5,4.46,2.84,0
"39262",0.47,"Good","H","VS1",65.1,59,1031,4.81,4.87,3.15,0
"8787",1.06,"Ideal","I","SI1",62.8,56,4333,6.52,6.47,4.08,1
"828",1.04,"Ideal","F","SI1",61.3,56,5882,6.55,6.5,4,1
"8683",0.52,"Very Good","F","VVS2",62.9,57,2035,5.11,5.13,3.22,0
"29739",0.32,"Premium","E","VS2",61.2,59,702,4.4,4.43,2.7,0
"2146",0.37,"Ideal","E","VVS2",61.4,56,876,4.64,4.67,2.86,0
"32516",1.22,"Premium","E","SI2",61.5,58,6121,6.86,6.84,4.21,1
"5116",0.9,"Very Good","H","VS1",61.8,56,4136,6.16,6.18,3.81,1
"25643",1.56,"Ideal","H","SI2",62.4,55,9081,7.39,7.48,4.64,1
"13815",0.35,"Very Good","G","IF",62.2,58,1044,4.45,4.52,2.79,0
"2769",1.01,"Very Good","G","VS1",63.1,57,5995,6.38,6.33,4.01,1
"27285",1.13,"Ideal","H","SI1",62,57,4959,6.66,6.73,4.15,1
"21186",0.3,"Very Good","G","VVS1",61.3,56,691,4.34,4.37,2.67,0
"28399",0.3,"Ideal","G","VVS1",62.3,54,1013,4.33,4.31,2.69,0
"17476",1.01,"Good","F","SI1",64.2,58,4276,6.33,6.31,4.06,1
"36303",0.9,"Good","F","VS2",65,58,4268,6.03,6.06,3.93,1
"38010",1.06,"Very Good","F","SI1",62.5,58,4721,6.46,6.5,4.05,1
"28654",0.4,"Premium","G","VVS1",62.3,58,1200,4.72,4.66,2.92,0
"6349",0.75,"Premium","J","VS1",61.6,57,1998,5.88,5.84,3.61,0
"10946",0.63,"Ideal","D","VS2",62.1,55,2373,5.5,5.52,3.42,0
"18262",1.04,"Ideal","H","SI1",62.7,54,4515,6.51,6.47,4.07,1
"38163",1.04,"Very Good","H","SI2",62.4,58,3546,6.4,6.49,4.02,0
"32984",1.02,"Very Good","F","VS1",63.6,60,7682,6.25,6.33,4,1
"1258",0.9,"Very Good","I","VS1",62.6,58,3844,6.09,6.15,3.83,0
"3125",1.51,"Ideal","G","SI1",61.1,57,11465,7.46,7.4,4.54,1
"1257",1.03,"Very Good","G","VS1",61.3,56.1,7511,6.5,6.52,3.99,1
"14453",0.45,"Very Good","E","VS2",61.8,58,1129,4.9,4.94,3.04,0
"32098",0.31,"Premium","G","VVS1",62.1,59,1046,4.35,4.32,2.69,0
"31455",0.55,"Ideal","E","SI1",61.7,56,1551,5.24,5.29,3.25,0
"570",0.38,"Premium","G","VS2",60.8,61,983,4.66,4.65,2.83,0
"6372",1.01,"Premium","D","SI2",58.3,59,4672,6.67,6.63,3.88,1
"15752",1.2,"Premium","E","VVS2",62.1,58,11301,6.76,6.7,4.18,1
"24261",0.31,"Premium","I","VVS2",62.1,58,698,4.33,4.3,2.68,0
"19640",1,"Premium","H","VS2",62.4,59,5404,6.75,6.72,4.2,1
"1764",0.73,"Very Good","D","SI2",60.3,60,2374,5.82,5.89,3.53,0
"19783",0.71,"Very Good","E","VS1",61.5,57,3192,5.74,5.77,3.54,0
"34",1.41,"Ideal","J","SI1",62.3,55,6889,7.18,7.21,4.48,1
"12927",0.75,"Fair","J","SI1",55,66,1827,6.2,6.04,3.37,0
