"","GameId","GameDate","NeutralSite","AwayTeam","HomeTeam"
"43",43,"1/24/2019 20:00",0,"North Carolina State Wolfpack","Louisville Cardinals"
"44",44,"1/24/2019 20:00",0,"Miami (FL) Hurricanes","Syracuse Orange"
"45",45,"1/26/2019 12:00",0,"Georgia Tech Yellow Jackets","Duke Blue Devils"
"46",46,"1/26/2019 13:00",0,"Virginia Cavaliers","Notre Dame Fighting Irish"
"47",47,"1/26/2019 14:00",0,"Pittsburgh Panthers","Louisville Cardinals"
"48",48,"1/26/2019 14:00",0,"Clemson Tigers","North Carolina State Wolfpack"
"49",49,"1/26/2019 16:00",0,"Boston College Eagles","Wake Forest Demon Deacons"
"50",50,"1/26/2019 20:00",0,"Syracuse Orange","Virginia Tech Hokies"
"51",51,"1/27/2019 18:00",0,"Florida State Seminoles","Miami (FL) Hurricanes"
"52",52,"1/28/2019 19:00",0,"Duke Blue Devils","Notre Dame Fighting Irish"
"53",53,"1/29/2019 19:00",0,"Virginia Cavaliers","North Carolina State Wolfpack"
"54",54,"1/29/2019 19:00",0,"North Carolina Tar Heels","Georgia Tech Yellow Jackets"
"55",55,"1/29/2019 21:00",0,"Pittsburgh Panthers","Clemson Tigers"
"56",56,"1/30/2019 19:00",0,"Virginia Tech Hokies","Miami (FL) Hurricanes"
"57",57,"1/30/2019 20:00",0,"Syracuse Orange","Boston College Eagles"
"58",58,"1/30/2019 20:00",0,"Louisville Cardinals","Wake Forest Demon Deacons"
"59",59,"2/2/2019 3:27",0,"North Carolina Tar Heels","Louisville Cardinals"
"60",60,"2/2/2019 12:00",0,"Virginia Tech Hokies","North Carolina State Wolfpack"
"61",61,"2/2/2019 12:00",0,"Georgia Tech Yellow Jackets","Florida State Seminoles"
"62",62,"2/2/2019 14:00",0,"Notre Dame Fighting Irish","Boston College Eagles"
"63",63,"2/2/2019 14:00",0,"Miami (FL) Hurricanes","Virginia Cavaliers"
"64",64,"2/2/2019 18:00",0,"Syracuse Orange","Pittsburgh Panthers"
"65",65,"2/3/2019 12:00",0,"Wake Forest Demon Deacons","Clemson Tigers"
"66",66,"2/4/2019 19:00",0,"Louisville Cardinals","Virginia Tech Hokies"
"67",67,"2/5/2019 19:00",0,"Boston College Eagles","Duke Blue Devils"
"68",68,"2/5/2019 19:00",0,"Pittsburgh Panthers","Wake Forest Demon Deacons"
"69",69,"2/5/2019 20:00",0,"North Carolina State Wolfpack","North Carolina Tar Heels"
"70",70,"2/5/2019 20:00",0,"Florida State Seminoles","Syracuse Orange"
"71",71,"2/6/2019 14:00",0,"Clemson Tigers","Georgia Tech Yellow Jackets"
"72",72,"2/6/2019 19:00",0,"Notre Dame Fighting Irish","Miami (FL) Hurricanes"
"73",73,"2/9/2019 12:00",0,"Miami (FL) Hurricanes","North Carolina Tar Heels"
"74",74,"2/9/2019 12:00",0,"Virginia Tech Hokies","Clemson Tigers"
"75",75,"2/9/2019 14:00",0,"North Carolina State Wolfpack","Pittsburgh Panthers"
"76",76,"2/9/2019 14:00",0,"Boston College Eagles","Syracuse Orange"
"77",77,"2/9/2019 16:00",0,"Louisville Cardinals","Florida State Seminoles"
"78",78,"2/9/2019 18:00",0,"Duke Blue Devils","Virginia Cavaliers"
"79",79,"2/10/2019 18:00",0,"Georgia Tech Yellow Jackets","Notre Dame Fighting Irish"
"80",80,"2/11/2019 19:00",0,"Virginia Cavaliers","North Carolina Tar Heels"
"81",81,"2/12/2019 19:00",0,"Pittsburgh Panthers","Boston College Eagles"
"82",82,"2/12/2019 21:00",0,"Duke Blue Devils","Louisville Cardinals"
"83",83,"2/13/2019 19:00",0,"Clemson Tigers","Miami (FL) Hurricanes"
"84",84,"2/13/2019 19:00",0,"Wake Forest Demon Deacons","Florida State Seminoles"
"85",85,"2/13/2019 20:00",0,"Syracuse Orange","North Carolina State Wolfpack"
"86",86,"2/13/2019 20:00",0,"Georgia Tech Yellow Jackets","Virginia Tech Hokies"
"87",87,"2/16/2019 3:27",0,"North Carolina State Wolfpack","Duke Blue Devils"
"88",88,"2/16/2019 12:00",0,"North Carolina Tar Heels","Wake Forest Demon Deacons"
"89",89,"2/16/2019 12:00",0,"Clemson Tigers","Louisville Cardinals"
"90",90,"2/16/2019 14:00",0,"Notre Dame Fighting Irish","Virginia Cavaliers"
"91",91,"2/16/2019 14:00",0,"Florida State Seminoles","Georgia Tech Yellow Jackets"
"92",92,"2/16/2019 16:30",0,"Virginia Tech Hokies","Pittsburgh Panthers"
"93",93,"2/17/2019 18:00",0,"Miami (FL) Hurricanes","Boston College Eagles"
"94",94,"2/18/2019 19:00",0,"Virginia Cavaliers","Virginia Tech Hokies"
"95",95,"2/19/2019 19:00",0,"Wake Forest Demon Deacons","Notre Dame Fighting Irish"
"96",96,"2/19/2019 21:00",0,"Florida State Seminoles","Clemson Tigers"
"97",97,"2/20/2019 19:00",0,"Boston College Eagles","North Carolina State Wolfpack"
"98",98,"2/20/2019 19:00",0,"Louisville Cardinals","Syracuse Orange"
"99",99,"2/20/2019 21:00",0,"North Carolina Tar Heels","Duke Blue Devils"
"100",100,"2/20/2019 21:00",0,"Pittsburgh Panthers","Georgia Tech Yellow Jackets"
"101",101,"2/23/2019 3:27",0,"Duke Blue Devils","Syracuse Orange"
"102",102,"2/23/2019 12:00",0,"Virginia Cavaliers","Louisville Cardinals"
"103",103,"2/23/2019 12:00",0,"Boston College Eagles","Clemson Tigers"
"104",104,"2/23/2019 14:00",0,"Georgia Tech Yellow Jackets","Miami (FL) Hurricanes"
"105",105,"2/23/2019 15:45",0,"Florida State Seminoles","North Carolina Tar Heels"
"106",106,"2/23/2019 16:00",0,"Virginia Tech Hokies","Notre Dame Fighting Irish"
"107",107,"2/24/2019 18:00",0,"Wake Forest Demon Deacons","North Carolina State Wolfpack"
"108",108,"2/25/2019 19:00",0,"Notre Dame Fighting Irish","Florida State Seminoles"
"109",109,"2/26/2019 3:27",0,"Duke Blue Devils","Virginia Tech Hokies"
"110",110,"2/26/2019 19:00",0,"Miami (FL) Hurricanes","Wake Forest Demon Deacons"
"111",111,"2/26/2019 21:00",0,"Syracuse Orange","North Carolina Tar Heels"
"112",112,"2/27/2019 19:00",0,"Clemson Tigers","Pittsburgh Panthers"
"113",113,"2/27/2019 19:00",0,"Georgia Tech Yellow Jackets","Virginia Cavaliers"
"114",114,"2/27/2019 21:00",0,"Louisville Cardinals","Boston College Eagles"
"115",115,"3/2/2019 3:27",0,"North Carolina Tar Heels","Clemson Tigers"
"116",116,"3/2/2019 12:00",0,"North Carolina State Wolfpack","Florida State Seminoles"
"117",117,"3/2/2019 12:00",0,"Syracuse Orange","Wake Forest Demon Deacons"
"118",118,"3/2/2019 14:00",0,"Pittsburgh Panthers","Virginia Cavaliers"
"119",119,"3/2/2019 16:00",0,"Miami (FL) Hurricanes","Duke Blue Devils"
"120",120,"3/3/2019 13:30",0,"Notre Dame Fighting Irish","Louisville Cardinals"
"121",121,"3/3/2019 18:00",0,"Boston College Eagles","Georgia Tech Yellow Jackets"
"122",122,"3/4/2019 19:00",0,"Virginia Cavaliers","Syracuse Orange"
"123",123,"3/5/2019 19:00",0,"Wake Forest Demon Deacons","Duke Blue Devils"
"124",124,"3/5/2019 19:00",0,"Virginia Tech Hokies","Florida State Seminoles"
"125",125,"3/5/2019 20:00",0,"Pittsburgh Panthers","Miami (FL) Hurricanes"
"126",126,"3/5/2019 20:00",0,"North Carolina Tar Heels","Boston College Eagles"
"127",127,"3/6/2019 21:00",0,"Clemson Tigers","Notre Dame Fighting Irish"
"128",128,"3/6/2019 21:00",0,"Georgia Tech Yellow Jackets","North Carolina State Wolfpack"
"129",129,"3/8/2019 19:00",0,"Miami (FL) Hurricanes","Virginia Tech Hokies"
"130",130,"3/9/2019 3:27",0,"Louisville Cardinals","Virginia Cavaliers"
"131",131,"3/9/2019 12:00",0,"Florida State Seminoles","Wake Forest Demon Deacons"
"132",132,"3/9/2019 12:00",0,"Syracuse Orange","Clemson Tigers"
"133",133,"3/9/2019 12:00",0,"Notre Dame Fighting Irish","Pittsburgh Panthers"
"134",134,"3/9/2019 14:00",0,"North Carolina State Wolfpack","Boston College Eagles"
"135",135,"3/9/2019 18:00",0,"Duke Blue Devils","North Carolina Tar Heels"
"136",136,"3/12/2019 12:00",1,"Wake Forest Demon Deacons","Miami (FL) Hurricanes"
"137",137,"3/12/2019 14:00",1,"Notre Dame Fighting Irish","Georgia Tech Yellow Jackets"
"138",138,"3/12/2019 19:00",1,"Pittsburgh Panthers","Boston College Eagles"
"139",139,"3/13/2019 12:00",1,"Clemson Tigers","North Carolina State Wolfpack"
"140",140,"3/13/2019 14:00",1,"Miami (FL) Hurricanes","Virginia Tech Hokies"
"141",141,"3/13/2019 19:00",1,"Notre Dame Fighting Irish","Louisville Cardinals"
"142",142,"3/13/2019 21:00",1,"Pittsburgh Panthers","Syracuse Orange"
"143",143,"3/14/2019 12:30",1,"North Carolina State Wolfpack","Virginia Cavaliers"
"144",144,"3/14/2019 14:30",1,"Virginia Tech Hokies","Florida State Seminoles"
"145",145,"3/14/2019 19:00",1,"Louisville Cardinals","North Carolina Tar Heels"
"146",146,"3/14/2019 21:00",1,"Syracuse Orange","Duke Blue Devils"
"147",147,"3/15/2019 19:00",1,"Florida State Seminoles","Virginia Cavaliers"
"148",148,"3/15/2019 21:00",1,"Duke Blue Devils","North Carolina Tar Heels"
"149",149,"3/16/2019 20:30",1,"Florida State Seminoles","Duke Blue Devils"
